year,processor,transistors,manufacturer
1971,Intel 4004,2300,Intel
1972,Intel 8008,3500,Intel
1974,Motorola 6800,4100,Motorola
1974,Intel 8080,4500,Intel
1974,RCA 1802,5000,RCA
1975,MOS Technology 6502,3510,MOS Technology
1976,Intel 8085,6500,Intel
1976,Zilog Z80,8500,Zilog
1978,Motorola 6809,9000,Motorola
1978,Intel 8086,29000,Intel
1979,Intel 8088,29000,Intel
1979,Motorola 68000,68000,Motorola
1981,WDC 65C02,11500,WDC
1982,Intel 80186,55000,Intel
1982,Intel 80286,134000,Intel
1983,WDC 65C816,22000,WDC
1984,Motorola 68020,200000,Motorola
1985,Novix NC4016,16000,Harris Corporation
1985,ARM 1,25000,Acorn
1985,Intel 80386,275000,Intel
1986,ARM 2,25000,Acorn
1988,Intel i960,250000,Intel
1989,ARM 3,300000,Acorn
1989,Intel 80486,1180235,Intel
1991,ARM 6,30000,ARM
1991,R4000,1350000,MIPS
1993,Pentium,3100000,Intel
1994,ARM 7,578977,ARM
1995,Pentium Pro,5500000,Intel
1996,AMD K5,4300000,AMD
1997,Pentium II Klamath,7500000,Intel
1997,AMD K6,8800000,AMD
1998,Pentium II Deschutes,7500000,Intel
1999,Pentium III Katmai,9500000,Intel
1999,AMD K6-III,21300000,AMD
1999,AMD K7,22000000,AMD
1999,Pentium II Mobile Dixon,27400000,Intel
2000,Pentium III Coppermine,21000000,Intel
2000,Pentium 4 Willamette,42000000,Intel
2001,Pentium III Tualatin,45000000,Intel
2002,Pentium 4 Northwood,55000000,Intel
2002,Itanium 2 McKinley,220000000,Intel
2003,Barton,54300000,AMD
2003,AMD K8,105900000,AMD
2003,Itanium 2 Madison 6M,410000000,Intel
2004,Pentium 4 Prescott,112000000,Intel
2004,Itanium 2 with 9 MB cache,592000000,Intel
2005,Pentium 4 Prescott-2M,169000000,Intel
2006,Pentium 4 Cedar Mill,184000000,Intel
2006,Cell,241000000,Sony/IBM/Toshiba
2006,Core 2 Duo Conroe,291000000,Intel
2006,Dual-core Itanium 2,1700000000,Intel
2007,ARM Cortex-A9,26000000,ARM
2007,Core 2 Duo Allendale,169000000,Intel
2007,Core 2 Duo Wolfdale,411000000,Intel
2007,AMD K10 quad-core 2M L3,463000000,AMD
2007,POWER6,789000000,IBM
2008,Atom,47000000,Intel
2008,Core 2 Duo Wolfdale3M,230000000,Intel
2008,Core i7 (Quad),731000000,Intel
2008,AMD K10 quad-core 6M L3,758000000,AMD
2008,Six-core Xeon 7400,1900000000,Intel
2009,Six-core Opteron 2400,904000000,AMD
2010,16-core SPARC T3,1000000000,Sun/Oracle
2010,Six-core Core i7 (Gulftown),1170000000,Intel
2010,8-core POWER7 32M L3,1200000000,IBM
2010,Quad-core z196[15],1400000000,IBM
2010,Quad-core Itanium Tukwila,2000000000,Intel
2010,8-core Xeon Nehalem-EX,2300000000,Intel
2011,Quad-core + GPU Core i7,1160000000,Intel
2011,Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP),2270000000,Intel
2011,10-core Xeon Westmere-EX,2600000000,Intel
2012,8-core AMD Bulldozer,1200000000,AMD
2012,Quad-core + GPU AMD Trinity,1303000000,AMD
2012,Quad-core + GPU Core i7,1400000000,Intel
2012,8-core POWER7+ 80 MB L3 cache,2100000000,IBM
2012,Six-core zEC12,2750000000,IBM
2012,8-core Itanium Poulson,3100000000,Intel
2012,62-core Xeon Phi,5000000000,Intel
2013,12-core POWER8,4200000000,IBM
2013,Xbox One main SoC,5000000000,Microsoft/AMD
2014,Apple A8 (dual-core ARM64 mobile SoC),2000000000,Apple
2014,Apple A8X (tri-core ARM64 mobile SoC),3000000000,Apple
2014,15-core Xeon Ivy Bridge-EX,4310000000,Intel
2015,Skylake K,1750000000,Intel
2015,Iris Core i7 Broadwell-U,1900000000,Intel
2015,IBM z13,3990000000,IBM
2015,IBM z13 Storage Controller,7100000000,IBM
2015,SPARC M7,10000000000,Oracle
2016,Snapdragon 835,3000000000,Qualcomm
2016,i7 Broadwell-E,3200000000,Intel
2016,Apple A10 Fusion,3300000000,Apple
2016,Broadwell-E5,7200000000,Intel
2016,Xeon Phi,8000000000,Intel
2017,Apple A11 Bionic,4300000000,Apple
2017,8-core Ryzen,4800000000,AMD
2017,IBM z14,6100000000,IBM
2017,Xbox One X,7000000000,Microsoft/AMD
2017,POWER9,8000000000,IBM
2017,IBM z14,9700000000,IBM
2017,Centriq 2400,18000000000,Qualcomm
2017,32-core AMD Epyc,19200000000,AMD
2018,Apple A12 Bionic,6900000000,Apple
2018,Kirin 980,6900000000,HiSilicon
2018,64-core AMD Epyc (Rome),39540000000,AMD
2019,Snapdragon 855,6900000000,Qualcomm
2019,Apple A13 Bionic,8500000000,Apple
2019,Ryzen 9 3900X,9890000000,AMD
2019,AWS Graviton2,30000000000,Amazon
2020,Apple A14 Bionic,11800000000,Apple
2020,Snapdragon 888,11800000000,Qualcomm
2020,Apple M1,16000000000,Apple
2020,64-core AMD Epyc (Milan),39540000000,AMD
2021,Apple A15 Bionic,15000000000,Apple
2021,IBM Telum,23000000000,IBM
